Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,SI_Clust_sampled_mean_val,SI_Clust_sampled_lower_ci,SI_Clust_sampled_upper_ci,SI_Clust_sampled_median_val,SI_Clust_sampled_sd_val,SI_Clust_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,k_sampled_mean_val,k_sampled_lower_ci,k_sampled_upper_ci,k_sampled_median_val,k_sampled_sd_val,k_sampled_n_mcmc_samples_in_calc,IP_sampled_mean_val,IP_sampled_lower_ci,IP_sampled_upper_ci,IP_sampled_median_val,IP_sampled_sd_val,IP_sampled_n_mcmc_samples_in_calc,LP_sampled_mean_val,LP_sampled_lower_ci,LP_sampled_upper_ci,LP_sampled_median_val,LP_sampled_sd_val,LP_sampled_n_mcmc_samples_in_calc,InfP_sampled_mean_val,InfP_sampled_lower_ci,InfP_sampled_upper_ci,InfP_sampled_median_val,InfP_sampled_sd_val,InfP_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc
1,7.375548092318389,3.4962716583319127,11.398308631079942,7.524267197683905,2.3500361262257474,10000,3.5468639423960067,2.987181987042118,4.197987123891564,3.453897596089355,0.389690573346356,10000,0.008008605348840543,2.4983010277317115e-7,0.02048671319498439,0.006826073981427509,0.006069880595558995,10000,0.4103450207092291,0.0955670052314937,0.8194946811645627,0.38972975733216,0.22185910794593933,10000,4.085471439191672,3.3257388137339534,5.027929517505192,4.115185847787883,0.6079352599958823,10000,3.569344915587247,2.512812152979406,4.599442643840421,3.6923695655763957,0.8724928075479698,10000,4.941794932863538,3.0640500980598304,7.741139778011088,4.310190582098177,1.5773420570729721,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
2,2.357251415073682,1.2153529033445047,3.3697192001022396,2.463618468616401,0.6286879413362624,10000,6.364523127783631,2.165826331704455,16.37546705977564,4.908553853077093,3.5953497746008978,10000,0.06364865657690727,0.024703696318812397,0.10120561614752124,0.07074698151746155,0.032375827858829045,10000,0.3610896471199483,0.1387919978764742,0.7369649038799853,0.31370404876139085,0.18171311471130214,10000,5.080168101823016,3.8491844837950224,6.637615734123529,4.936559278393506,0.8594706825051847,10000,5.765167021556796,5.01394636760496,6.706666666666666,5.570834224120464,0.48341285525229255,10000,8.330315114174674,4.627991930437598,12.07,8.400847500805453,1.7976427263719035,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
3,1.8785957659174,0.3781621994185862,4.110596899611724,1.6589598360231168,0.9714347042669853,10000,11.917214854684884,3.4681530606238575,17.175980674151493,13.822889917762609,4.135732050487121,10000,0.6017342290357073,0.4278290785120437,0.7772114239146942,0.5943991571194726,0.07866561418083308,10000,0.5684780707259011,0.18197922621304324,1.0610245349769016,0.5787522931073141,0.19504911001158143,10000,7.516056328258396,4.373343754375965,9.338789224758886,7.989172878656891,1.3917648730630399,10000,8.706144837733438,6.061640608458835,12.27,7.978158822220941,2.3331801157303578,10000,5.030141787760695,3.073274473458352,8.3825,4.382788594720151,1.7013518540987322,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000
4,1.8807061875491466,1.4392357346332736,2.8497162972345342,1.7305215594481602,0.4003506003549568,10000,2.7343380543529396,2.121392950557702,3.3801852051195875,2.730605245510986,0.32226293129595196,10000,0.011949969992926685,2e-4,0.030367353978292825,0.0042233732908444205,0.012091216225348157,10000,4.427667047429476,0.6544860375837298,10.154850624296957,3.1398631901001712,3.4884803783785294,10000,1.49739225068347,1.34,1.8548368452766615,1.34,0.18027592392902128,10000,2.1411971784582375,1.5149472759230596,3.0443488152667544,1.8889053287670974,0.5642058894723582,10000,2.1335770432357215,0.5644793062828154,4.423049254595994,1.8694555784664693,1.2388205907613574,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
5,1.3981230240725129,0.41526244615737906,3.08389976714269,1.3699366844619723,0.7491751728774452,5000,12.414288160504448,7.668806187112594,16.499208020944394,12.657804534888713,2.1408534560136627,5000,0.39016549180502735,0.2630332546427297,0.5260196826437417,0.38877701601961423,0.06845943614146585,5000,4.406388206253214,1e-5,49.00628415916918,0.0351903221627448,26.564091206705047,5000,6.7146109614014176,5.725922668816369,8.025160639207758,6.678403362196978,0.5673007169134128,5000,7,7,7,7,0,5000,16.008676704916812,9.454466280963972,24.26865815261329,15.66743996721863,3.789865252631462,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000
6,1.3018630441421062,0.8,1.8456308137332356,1.2993652129277404,0.3574565369304086,5000,9.689414379338645,7.383065967263224,13.970853460044161,9.21183593382358,1.7743236271471587,5000,0.053836362782664245,0.02444440951117312,0.08310361933522736,0.05387738084096598,0.015139181184374467,5000,0.4784424518207263,0.2265650682121622,1.0068601285412777,0.4222923438351259,0.2060618289589649,5000,8.579421291078978,6.620523662645265,11.125948366336967,8.481952907736718,1.1500894288835137,5000,3,3,3,3,0,5000,6.357411772345971,3.1942528668293377,10,6.31836500874801,1.6875298314006337,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000
